ID,Test,Status,Started,Completed
3,Login API Test,PASSED,2025-12-19T18:15:46,2025-12-19T18:15:50
4,system,FAILED,null,null
8,Login API Test,PASSED,2025-12-19T20:46:58,2025-12-19T20:47:01
9,GetUsers200,PASSED,2025-12-19T20:46:58,2025-12-19T20:47
11,GetUsers200,PASSED,2025-12-19T20:47:03,2025-12-19T20:47:05
13,Login API Test,PASSED,2025-12-19T20:47:03,2025-12-19T20:47:06
15,Login API Test,PASSED,2025-12-19T20:47:08,2025-12-19T20:47:10
16,GetUsers200,PASSED,2025-12-19T20:47:08,2025-12-19T20:47:10
17,system,FAILED,null,null
18,system,FAILED,null,null
19,system,FAILED,null,null
20,https://httpbin.org/status/200,PASSED,2025-12-22T20:53:31,2025-12-22T20:53:39
23,https://httpbin.org/status/200,PASSED,2025-12-22T20:58:48,2025-12-22T20:58:51
24,{\"$ne\":null},null,2025-12-22T21:02:48,null
28,UpdateUser500,null,2025-12-22T21:05:11,null
29,Login API Test,PASSED,2025-12-22T21:05:11,2025-12-22T21:05:13
30,GetUsers200,PASSED,2025-12-22T21:05:11,2025-12-22T21:05:13
31,GetUsers200,PASSED,2025-12-22T21:05:16,2025-12-22T21:05:18
32,Login API Test,PASSED,2025-12-22T21:05:16,2025-12-22T21:05:19
33,UpdateUser500,null,2025-12-22T21:05:16,null
34,system,FAILED,null,null
35,system,FAILED,null,null
36,{\"$ne\":null},FAILED,2025-12-23T13:01:18,2025-12-23T13:01:23
37,LogAPI,FAILED,2025-12-23T13:06:39,2025-12-23T13:06:46
38,UpdateUser500,FAILED,2025-12-23T13:08:39,2025-12-23T13:08:45
39,GetUsers200,FAILED,2025-12-23T13:08:39,2025-12-23T13:08:45
40,Failed-Case,FAILED,2025-12-23T13:08:39,2025-12-23T13:08:45
41,Login API Test,null,2025-12-23T13:08:39,null
42,system,FAILED,null,null
43,Login API Test,FAILED,2025-12-23T13:08:46,2025-12-23T13:08:51
44,GetUsers200,FAILED,2025-12-23T13:08:46,2025-12-23T13:08:51
46,UpdateUser500,null,2025-12-23T13:08:46,null
47,system,FAILED,null,null
48,system,FAILED,null,null
49,Log API,FAILED,2025-12-23T17:39:35,2025-12-23T17:39:41
50,https://google.com Login ,PASSED,2025-12-23T17:45:09,2025-12-23T17:45:21
51,https://google.com Login ,PASSED,2025-12-23T17:45:43,2025-12-23T17:45:48
52,https://google.com Login ,PASSED,2025-12-23T17:50:23,2025-12-23T17:50:28
53,https://google.com Login ,PASSED,2025-12-23T17:51:12,2025-12-23T17:51:15
54,https://google.com Login ,PASSED,2025-12-23T17:51:12,2025-12-23T17:51:15
55,Log API Test ,FAILED,2025-12-23T18:40:36,2025-12-23T18:40:41
